sp;lon;lat
Massartella brieni;-45.45;-22.66
Massartella brieni;-45.83;-23.63
Massartella brieni;-48.41;-24.27
Massartella brieni;-40.53;-19.87
Massartella brieni;-42.07;-22.19
Massartella brieni;-42.13;-22.23
Massartella brieni;-42.17;-22.26
Massartella brieni;-42.47;-22.41
Massartella brieni;-42.33;-22.39
Massartella brieni;-42.38;-22.35
Massartella brieni;-42.42;-22.41
Massartella brieni;-42.29;-22.32
Massartella brieni;-42.54;-22.42
Massartella brieni;-42.45;-22.4
Massartella brieni;-44.62;-22.93
Massartella brieni;-44.6;-22.31
Massartella brieni;-41.76;-21.81
Massartella brieni;-44.61;-22.43
Massartella brieni;-41.92;-21.88
Massartella brieni;-44.64;-22.71
Massartella brieni;-43.02;-22.45
Massartella brieni;-41.80686111;-20.46272222
Massartella brieni;-41.82825;-20.47208333
Massartella brieni;-41.73558333;-20.39669444
Massartella brieni;-41.72941667;-20.40152778
Massartella brieni;-40.53030556;-19.87522222
Massartella brieni;-40.52980556;-19.52980556
Massartella brieni;-40.53538889;-19.87525
Massartella brieni;-40.52863889;-19.87111111
Massartella brieni;-40.53238889;-19.87522222
Massartella brieni;-40.52816667;-19.87652778
Massartella brieni;-41.72291667;-20.46911111
Massartella brieni;-41.80891667;-20.45594444
Massartella brieni;-41.83066667;-20.48252778
Massartella brieni;-41.857;-20.53877778
Massartella brieni;-40.5305;-19.87572222
Massartella brieni;-41.03497222;-20.43044444
Massartella brieni;-41.05558333;-20.31538889
Massartella brieni;-40.72427778;-20.25072222
Massartella brieni;-40.72555556;-20.25088889
Massartella brieni;-41.84602778;-20.41988889
Massartella brieni;-41.81263889;-20.32377778
Massartella brieni;-40.47891667;-19.937
Massartella brieni;-40.49397222;-20.25791667
Massartella brieni;-40.56158611;-19.91739444
Massartella brieni;-40.56058333;-19.85392222
Massartella brieni;-40.54549444;-19.88985556
Massartella brieni;-41.82419444;-20.62508333
Massartella brieni;-40.4125;-19.93388889
Massartella brieni;-41.83433333;-20.41075
Massartella brieni;-44.61802778;-22.72983333
Massartella brieni;-44.63727778;-22.71297222
Massartella brieni;-44.60205556;-22.85275
Massartella brieni;-44.61616667;-22.85525
Massartella brieni;-44.62355556;-22.92619444
Massartella brieni;-44.61122222;-22.78025
Massartella brieni;-44.59777778;-22.82294444
Massartella brieni;-42.46536111;-22.40522222
Massartella brieni;-42.33466667;-22.38991667
Massartella brieni;-42.44616667;-22.40425
Massartella brieni;-42.13463889;-22.22988889
Massartella brieni;-42.37544444;-22.35155556
Massartella brieni;-42.41808333;-22.40769444
Massartella brieni;-42.29125;-22.31725
Massartella brieni;-42.53566667;-22.42430556
Massartella brieni;-42.53858333;-22.43108333
Massartella brieni;-42.53730556;-22.43111111
Massartella brieni;-42.52116667;-22.41277778
Massartella brieni;-42.07391667;-22.19391667
Massartella brieni;-42.12766667;-22.22919444
Massartella brieni;-42.16894444;-22.26077778
Massartella brieni;-44.64325;-22.73477778
Massartella brieni;-44.60191667;-22.7745
Massartella brieni;-44.60994444;-22.76844444
Massartella brieni;-44.61566944;-22.74285833
Massartella brieni;-44.61108333;-22.78019444
Massartella brieni;-44.62155556;-22.72591667
Massartella brieni;-44.60693333;-22.43194722
Massartella brieni;-44.60545;-22.43648611
Massartella brieni;-44.60033333;-22.32805556
Massartella brieni;-44.60355556;-22.77336111
Massartella brieni;-44.59588889;-22.31491667
Massartella brieni;-41.90841667;-21.87791667
Massartella brieni;-41.91952778;-21.87708333
Massartella brieni;-41.90980556;-21.8775
Massartella brieni;-41.91816667;-21.87652778
Massartella brieni;-41.91216667;-21.87669444
Massartella brieni;-41.75675;-21.81422222
Massartella brieni;-43.01522222;-22.45233333
Massartella brieni;-44.60738611;-22.44550556
Massartella brieni;-43.20969444;-22.42377778
Massartella brieni;-43.25755556;-22.43327778
Massartella brieni;-44.61936111;-22.42738889
