sp,lon,lat
americabaetis_br,-41.88216944,-22.29543889
americabaetis_br,-44.69308333,-23.04172222
americabaetis_br,-44.60030556,-22.94627778
americabaetis_br,-42.33433333,-22.39088889
americabaetis_br,-42.52116667,-22.41277778
americabaetis_br,-44.63002778,-22.7205
americabaetis_br,-40.52980556,-19.87547222
americabaetis_br,-41.72291667,-20.46911111
americabaetis_br,-41.44827778,-4.004388889
americabaetis_br,-45.3505,-13.51933333
americabaetis_br,-46.1175,-14.47666667
americabaetis_br,-46.22805556,-14.43916667
americabaetis_br,-41.74725,-20.30641667
americabaetis_br,-41.82419444,-20.62508333
americabaetis_br,-40.24058333,-19.12586111
americabaetis_br,-40.85694444,-20.81386111
americabaetis_br,-40.51247222,-18.66427778
americabaetis_br,-41.33169444,-20.08716667
americabaetis_br,-40.20642778,-18.88457222
americabaetis_br,-40.28277778,-18.57752778
americabaetis_br,-40.107,-18.203
americabaetis_br,-40.42833333,-19.88983333
americabaetis_br,-40.87316667,-18.34886111
americabaetis_br,-40.477,-19.68597222
americabaetis_br,-40.58205556,-20.61830556
americabaetis_br,-40.84033333,-18.92672222
americabaetis_br,-40.17884167,-18.24509167
americabaetis_br,-40.51455556,-20.33358333
americabaetis_br,-41.14230556,-20.15552778
americabaetis_br,-40.50269444,-19.23738889
americabaetis_br,-40.52630556,-19.43625
americabaetis_br,-40.77361111,-20.05763889
americabaetis_br,-41.012,-19.81675
americabaetis_br,-40.42152778,-19.34975
americabaetis_br,-40.242,-18.31038889
americabaetis_br,-40.81202778,-20.46161111
americabaetis_br,-41.10922222,-18.46055556
americabaetis_br,-41.81263889,-20.32377778
americabaetis_br,-40.85522222,-20.54969444
americabaetis_br,-40.38555556,-20.18602778
americabaetis_br,-40.87441667,-19.05069444
americabaetis_br,-40.37852778,-20.05936111
americabaetis_br,-41.18558333,-20.98672222
americabaetis_br,-40.61130556,-19.4705
americabaetis_br,-40.59325,-19.04808333
americabaetis_br,-41.26847222,-20.40208333
americabaetis_br,-40.2275,-19.02683333
americabaetis_br,-41.63538889,-20.69894444
americabaetis_br,-40.92933333,-19.75580556
americabaetis_br,-40.81511111,-19.45183333
