sp,lon,lat
Askola_froehlichi,-45.83,-23.63
Askola_froehlichi,-44.6,-22.33
Askola_froehlichi,-42.29,-22.34
Askola_froehlichi,-42.08,-22.19
Askola_froehlichi,-44.68,-22.38
Askola_froehlichi,-43.02,-22.46
Askola_froehlichi,-43.09,-22.46
Askola_froehlichi,-44.59,-22.36
Askola_froehlichi,-44.62,-22.73
Askola_froehlichi,-44.61,-22.77
Askola_froehlichi,-41.83433333,-20.41075
Askola_froehlichi,-41.84602778,-20.41988889
Askola_froehlichi,-41.82825,-20.47208333
Askola_froehlichi,-41.82419444,-20.62508333
Askola_froehlichi,-39.7994, -18.4526
Askola_froehlichi,-40.9293,19.7558
Askola_froehlichi,-41.8343,-20.4108
