sp,lon,lat
Melanemerella_brasiliana,-40.54,-19.89
Melanemerella_brasiliana,-40.56,-19.87
Melanemerella_brasiliana,-44.57,-22.39
Melanemerella_brasiliana,-43.32,-21.74
Melanemerella_brasiliana,-43.30,-21.75
Melanemerella_brasiliana,-39.57,-15.38
Melanemerella_brasiliana,-44.63,-22.90
Melanemerella_brasiliana,-44.62,-22.73
Melanemerella_brasiliana,-44.61,-22.77
Melanemerella_brasiliana,-44.60,-22.82
Melanemerella_brasiliana,-44.61108333,-22.78019444
Melanemerella_brasiliana,-44.60994444,-22.76844444
Melanemerella_brasiliana,-44.60205556,-22.85275
Melanemerella_brasiliana,-44.61016667,-22.7685
Melanemerella_brasiliana,-44.59777778,-22.82294444
Melanemerella_brasiliana,-44.61122222,-22.78025
Melanemerella_brasiliana,-44.61802778,-22.72983333
Melanemerella_brasiliana,-44.61622222,-22.73488889
Melanemerella_brasiliana,-44.62877778,-22.90466667
Melanemerella_brasiliana,-44.62977778,-22.91619444
Melanemerella_brasiliana,-40.55951944,-19.86736944
Melanemerella_brasiliana,-40.54486111,-19.88905556
Melanemerella_brasiliana,-44.56955556,-22.39336111
Melanemerella_brasiliana,-43.31966667,-21.744
Melanemerella_brasiliana,-43.2955,-21.74819444
Melanemerella_brasiliana,-39.56944444,-15.38363056
Melanemerella_brasiliana,-45.56833,-22.74139
Melanemerella_brasiliana,-44.61333,-22.45056
Melanemerella_brasiliana,-40.6,-19.9
Melanemerella_brasiliana,-44.61616667,-22.85525
Melanemerella_brasiliana,-44.60161111,-22.87477778
Melanemerella_brasiliana,-44.56955556,-22.39333333
Melanemerella_brasiliana,-44.61108333,-22.78019444
Melanemerella_brasiliana,-45.46388889,-22.69166667
Melanemerella_brasiliana,-45.46055556,-22.69472222
Melanemerella_brasiliana,-45.46166667,-22.69138889
Melanemerella_brasiliana,-45.49055556,-22.71444444
