sp,lon,lat
Miroculis_mourei,-44.62,-22.86
Miroculis_mourei,-45.46,-22.69
Miroculis_mourei,-45.49,-22.71
Miroculis_mourei,-40.54,-19.89
Miroculis_mourei,-40.56,-19.87
Miroculis_mourei,-43.32,-21.74
Miroculis_mourei,-43.3,-21.75
Miroculis_mourei,-39.57,-15.38
Miroculis_mourei,-44.63,-22.92
Miroculis_mourei,-44.6,-22.85
Miroculis_mourei,-44.57,-22.39
Miroculis_mourei,-40.52980556,-19.87522222
Miroculis_mourei,-40.53030556,-19.87544444
Miroculis_mourei,-40.54486111,-19.88905556
Miroculis_mourei,-41.72291667,-20.46911111
Miroculis_mourei,-41.73558333,-20.39669444
Miroculis_mourei,-40.52863889,-19.87111111
Miroculis_mourei,-40.53238889,-19.87522222
Miroculis_mourei,-41.80891667,-20.45594444
Miroculis_mourei,-44.61802778,-22.72983333
Miroculis_mourei,-42.50733333,-22.42683333
Miroculis_mourei,-42.49852778,-22.41863889
Miroculis_mourei,-42.53858333,-22.43108333
Miroculis_mourei,-42.485,-22.39158333
Miroculis_mourei,-42.33466667,-22.38991667
Miroculis_mourei,-42.32161111,-22.40155556
Miroculis_mourei,-42.34505556,-22.41054167
Miroculis_mourei,-42.40369444,-22.41291667
Miroculis_mourei,-42.27119444,-22.3875
Miroculis_mourei,-42.44616667,-22.40702778
Miroculis_mourei,-42.42286111,-22.41519444
Miroculis_mourei,-42.13463889,-22.22988889
Miroculis_mourei,-42.20413889,-22.43005556
Miroculis_mourei,-42.28980556,-22.31708333
Miroculis_mourei,-42.29125,-22.31725
Miroculis_mourei,-42.31044444,-22.36313889
Miroculis_mourei,-42.18277778,-22.32158333
Miroculis_mourei,-42.18108333,-22.32227778
Miroculis_mourei,-42.15088889,-22.24508333
Miroculis_mourei,-42.15580556,-22.27108333
Miroculis_mourei,-42.16894444,-22.26077778
Miroculis_mourei,-42.18436111,-22.34494444
Miroculis_mourei,-42.07391667,-22.19391667
Miroculis_mourei,-42.06222222,-22.26447222
Miroculis_mourei,-44.838,-23.33852778
Miroculis_mourei,-44.62155556,-22.72591667
Miroculis_mourei,-44.62397222,-22.71358333
Miroculis_mourei,-43.08916667,-22.46411111
Miroculis_mourei,-43.08766667,-22.46516667
Miroculis_mourei,-44.59725,-22.30686111
Miroculis_mourei,-41.7229, -20.4691
Miroculis_mourei,-40.5286,-19.8711
