sp,lon,lat
Traverhyphes_yuati,-42.38,-22.35
Traverhyphes_yuati,-42.2,-22.43
Traverhyphes_yuati,-42.22,-22.41
Traverhyphes_yuati,-41.84,-22.21
Traverhyphes_yuati,-42.87,-22.28
Traverhyphes_yuati,-41.88,-22.3
Traverhyphes_yuati,-42,-22.29
Traverhyphes_yuati,-42.17,-22.33
Traverhyphes_yuati,-42.18,-22.32
Traverhyphes_yuati,-42.18,-22.18
Traverhyphes_yuati,-42.18,-22.34
Traverhyphes_yuati,-42.16,-22.27
Traverhyphes_yuati,-42.15,-22.26
Traverhyphes_yuati,-42.08,-22.19
Traverhyphes_yuati,-42.13,-22.23
Traverhyphes_yuati,-42.1,-22.24
Traverhyphes_yuati,-44.84,-23.34
Traverhyphes_yuati,-44.78,-23.36
Traverhyphes_yuati,-44.6,-22.01
Traverhyphes_yuati,-40.34,-18.56
Traverhyphes_yuati,-40.28,-18.57
Traverhyphes_yuati,-40.11,-18.63
Traverhyphes_yuati,-40.51,-18.66
Traverhyphes_yuati,-40.38,-18.72
Traverhyphes_yuati,-40.12,-18.65
Traverhyphes_yuati,-39.99,-18.65
Traverhyphes_yuati,-39.81,-18.69
Traverhyphes_yuati,-39.79,-18.72
Traverhyphes_yuati,-39.76,-18.66
Traverhyphes_yuati,-54.17,-25.86
Traverhyphes_yuati,-47.38238889,-6.071
Traverhyphes_yuati,-47.46983333,-6.529805556
Traverhyphes_yuati,-41.44827778,-4.004388889
Traverhyphes_yuati,-46.55194444,-14.24622222
Traverhyphes_yuati,-41.82152778,-20.48105556
Traverhyphes_yuati,-40.78155556,-19.52086111
Traverhyphes_yuati,-40.58052778,-19.51813889
Traverhyphes_yuati,-40.51633333,-19.51475
Traverhyphes_yuati,-40.27802778,-19.49808333
Traverhyphes_yuati,-39.94144444,-19.44744444
Traverhyphes_yuati,-39.88313889,-19.53838889
Traverhyphes_yuati,-40.89263889,-19.50122222
Traverhyphes_yuati,-29.95,-19.49419444
Traverhyphes_yuati,-40.11155556,-18.62808333
Traverhyphes_yuati,-40.28277778,-18.57752778
Traverhyphes_yuati,-39.99333333,-18.65475
Traverhyphes_yuati,-40.33513889,-18.55763889
Traverhyphes_yuati,-39.86430556,-18.69452778
Traverhyphes_yuati,-40.51247222,-18.66427778
Traverhyphes_yuati,-40.375925,-18.71525278
Traverhyphes_yuati,-55.43778,-27.67028
Traverhyphes_yuati,-55.10861,-26.97222
Traverhyphes_yuati,-54.62083,-26.22778
Traverhyphes_yuati,-54.16947,-25.86161
Traverhyphes_yuati,-54.16944,-25.85806
Traverhyphes_yuati,-54.14139,-26.44333
Traverhyphes_yuati,-53.91228,-26.90083
Traverhyphes_yuati,-47.46972,-6.52972
Traverhyphes_yuati,-47.3825,-6.07111
Traverhyphes_yuati,-46.55194,-14.24611
Traverhyphes_yuati,-45.56833,-22.74139
Traverhyphes_yuati,-44.61333,-22.45056
Traverhyphes_yuati,-42.53444,-22.2825
Traverhyphes_yuati,-41.82889,-20.48111
Traverhyphes_yuati,-41.44833,-4.00444
Traverhyphes_yuati,-42.32141,-22.40158
Traverhyphes_yuati,-42.18277778,-22.32158333
Traverhyphes_yuati,-42.18258333,-22.31991667
Traverhyphes_yuati,-42.17233333,-22.33277778
Traverhyphes_yuati,-42.18108333,-22.32227778
Traverhyphes_yuati,-42.17130556,-22.33138889
Traverhyphes_yuati,-42.20183333,-22.43041667
Traverhyphes_yuati,-42.25569444,-22.36525
Traverhyphes_yuati,-42.27119444,-22.3875
Traverhyphes_yuati,-42.25916667,-22.36391667
Traverhyphes_yuati,-41.84005556,-22.20775
Traverhyphes_yuati,-42.00408333,-22.28727778
