sp;lon;lat
sp2;-42.53566667;-22.42430556
sp2;-42.20375000;-22.33983333
sp2;-42.46536111;-22.40522222
sp2;-42.12766667;-22.22919444
sp2;-42.16894444;-22.26077778
sp2;-42.07391667;-22.19391667
sp2;-43.00761111;-22.44827778
sp2;-44.64325000;-22.73477778
sp2;-44.60994444;-22.76844444
sp2;-44.60191667;-22.77450000
sp2;-44.62155556;-22.72591667
sp2;-44.61108333;-22.78019444
sp2;-44.60355556;-22.77336111
sp2;-44.61566944;-22.74285833
sp2;-41.91952778;-21.87708333
sp2;-44.59777778;-22.82294444
sp2;-44.60355556;-22.77336111
sp2;-43.01522222;-22.45233333
sp2;-44.62155556;-22.72591667
sp2;-44.62155556;-22.72591667
sp2;-44.62155556;-22.72591667
sp2;-40.54486111;-19.88905556
sp2;-40.55951944;-19.86736944
sp2;-44.56955556;-22.39336111
sp2;-44.78700000;-23.36158333
sp2;-44.61016667;-22.78019444
sp2;-44.61122222;-22.76850000
sp2;-44.61622222;-22.78025000
sp2;-44.61802778;-22.73488889
sp2;-44.60205556;-22.72983333
sp2;-44.61000000;-22.85275000
sp2;-44.61616667;-22.76850000
sp2;-44.59777778;-22.85525000
sp2;-44.61122222;-22.82294444
sp2;-44.63727778;-22.78025000
sp2;-44.63727778;-22.71297222
sp2;-44.62355556;-22.71297222
sp2;-44.61802778;-22.92619444
sp2;-44.61802778;-22.72983333
sp2;-44.61802778;-22.72983333
sp2;-44.60355556;-22.72983333
sp2;-44.60355556;-22.77336111
sp2;-44.60191667;-22.77336111
sp2;-44.60994444;-22.77450000
sp2;-44.61566944;-22.76844444
sp2;-44.61108333;-22.74285833
sp2;-44.83800000;-23.33852778
sp2;-44.61802778;-22.72983333
sp2;-44.78700000;-23.36158333
sp2;-44.83800000;-23.33852778
sp2;-44.83800000;-23.33852778
sp2;-44.83800000;-23.33852778
sp2;-44.83800000;-23.33852778
sp2;-44.83744444;-23.33880556
sp2;-44.83744444;-23.33880556
sp2;-44.83744444;-23.33880556
sp2;-44.72886111;-23.35066667
